"Name","Year","Longitude","Latitude","medianGreenup","ebirdCounty","npnGDD_May1","npn_firstLeaf"
"Prairie Ridge Ecostation",2015,-78.7139,35.8117,96,"US-NC-183",NA,69
"NC Botanical Garden",2015,-79.0339,35.8994,105,"US-NC-135",NA,70
"Great Smoky Mountains Institute at Tremont",2015,-83.688772827533,35.639979235465,120,"US-TN-009",NA,73
"Acadia NP - Sundew",2015,-68.0657,44.3393,133,"US-ME-009",NA,122
"Coweeta - BS",2015,-83.458333,35.025,128,NA,NA,72
"Coweeta - BB",2015,-83.475,35.041667,135,NA,NA,72
"NC Botanical Garden",2016,-79.0339,35.8994,105,"US-NC-135",2169.38549804688,51
"Prairie Ridge Ecostation",2016,-78.7139,35.8117,96,"US-NC-183",2235.99487304688,43
"Great Smoky Mountains Institute at Tremont",2016,-83.688772827533,35.639979235465,120,"US-TN-009",2032.55017089844,63
"Coweeta - BB",2016,-83.475,35.041667,135,NA,1282.19311523438,73
"Coweeta - BS",2016,-83.458333,35.025,128,NA,1326.48168945312,73
"Acadia NP - Sundew",2017,-68.0657,44.3393,133,"US-ME-009",562.364135742188,107
"Kalamazoo Nature Center",2017,-85.5836,42.3604,121,"US-MI-077",1034.7021484375,91
"Roxbury Park",2017,-80.3473,32.6824,103,NA,3397.35375976562,20
"NC Botanical Garden",2017,-79.0339,35.8994,105,"US-NC-135",2522.12255859375,39
"Environmental Sciences Magnet School",2017,-72.7024,41.7409,119,NA,1032.98315429688,97
"Great Smoky Mountains Institute at Tremont",2017,-83.688772827533,35.639979235465,120,"US-TN-009",2508.94702148438,33
"Mataniuck State Park",2017,-72.6827,41.8136,123,NA,1030.10327148438,97
"Prairie Ridge Ecostation",2017,-78.7139,35.8117,96,"US-NC-183",2597.57788085938,39
"Wild Spirit Education",2017,-78.435118901427,42.499709404604,124,NA,901.358154296875,96
"Acadia NP - Alder",2017,-68.0528,44.3424,133,"US-ME-009",562.364135742188,107
"Coweeta - BB",2017,-83.475,35.041667,135,NA,1683.32263183594,52
