"Name","Year","Longitude","Latitude","medianGreenup","ebirdCounty","npnGDD_May1","npn_firstLeaf"
"Coweeta - BS",2017,-83.458333,35.025,128,NA,1839.06799316406,47
"Hemlock Bluffs",2018,-78.779309191044,35.724098087769,104,"US-NC-183",2012.80358886719,45
"Great Smoky Mountains Institute at Tremont",2018,-83.688772827533,35.639979235465,120,"US-TN-009",1921.57080078125,47
"NC State University",2018,-78.67546810402,35.781071715192,105,"US-NC-183",2019.22119140625,46
"CawCaw Interpretive Center",2018,-80.193097095849,32.782252065427,101,NA,2772.59252929688,38
"UNC Chapel Hill Campus",2018,-79.049644020807,35.909876654033,105,"US-NC-135",1943.07153320312,47
"Prairie Ridge Ecostation",2018,-78.7139,35.8117,96,"US-NC-183",1999.53784179688,46
"East Carolina University",2018,-77.366304214415,35.606393363404,101,"US-NC-147",2149.41479492188,45
"Georgetown",2018,-77.07900566587,38.909602349623,112,"US-DC-001",1373.7587890625,54
"NC Botanical Garden",2018,-79.0339,35.8994,105,"US-NC-135",1955.71667480469,47
"Acadia NP - Alder",2018,-68.0528,44.3424,133,"US-ME-009",495.980133056641,117
"Mt. Auburn Cemetery",2018,-71.14532216979,42.37140748221,131,"US-MA-017",816.388916015625,101
"Pritchard Park (Chapel Hill Public Library)",2018,-79.036950286991,35.930914233655,106,"US-NC-135",1936.93322753906,47
"Stage Nature Center",2018,-83.191449083429,42.616025477569,118,"US-MI-125",508.715148925781,116
"Ijams Nature Center",2018,-83.866635560989,35.957561221232,100,"US-TN-093",1834.64001464844,51
"Kalamazoo Nature Center",2018,-85.5836,42.3604,121,"US-MI-077",508.994476318359,113
"Museum of American Bird Art",2018,-71.139992349488,42.163219926543,129,"US-MA-021",759.950134277344,102
"Piedmont Wildlife Center",2018,-78.981910741099,35.917063489124,107,NA,1974.94946289062,47
"Acadia NP - Sundew",2018,-68.0657,44.3393,133,"US-ME-009",495.980133056641,117
"Walker Nature Center",2018,-77.341531666344,38.925767408682,115,"US-VA-059",1279.27673339844,67
"Mass Audubon's Broadmoor Wildlife Sanctuary",2018,-71.338917016983,42.256699363244,132,"US-MA-017",742.328125,103
"Mass Audubon's Boston Nature Center",2018,-71.099689938102,42.286004028739,130,"US-MA-025",806.264038085938,101
"Currituck Banks Reserve",2018,-75.830780073317,36.38958959672,130,"US-NC-053",1695.19421386719,50
"Sault College",2018,-84.30692999308,46.534499045766,141,"CA-ON-AL",112.418891906738,127
"The Children's Museum",2018,-72.737066745758,41.76199706042,119,NA,767.474182128906,101
"Wellesley College",2018,-71.305676469268,42.295625231048,132,"US-MA-021",747.22412109375,103
"Cradle Heritage Site",2018,-82.77839483345,35.349746326531,128,NA,1329.27233886719,53
"Linda Loring Nature Foundation",2018,-70.170192718506,41.291998909614,152,"US-MA-019",865.250061035156,97
"Jordan Lake SRA",2018,-79.010815647513,35.730187663663,112,NA,2044.60986328125,46
"RVCC",2018,-79.170878351185,43.81900252918,NA,"CA-ON-TO",NA,NA
"Red Top Mountain State Park",2018,-84.703345298767,34.153579319926,108,NA,2177.60302734375,46
"Beare Swamp in Rouge Park",2018,-79.154017733419,43.825999432243,NA,"CA-ON-TO",NA,NA
"Azalea Repository (TNCA)",2018,-82.604872412239,35.494777512753,118,"US-NC-021",1624.66979980469,48
"Stream Garden (TNCA)",2018,-82.608557106741,35.49769849481,117,"US-NC-021",1612.72705078125,48
"Plants of Promise Garden (TNCA)",2018,-82.608926665321,35.496032261155,120,"US-NC-021",1612.72705078125,48
"Coweeta - BS",2018,-83.458333,35.025,128,NA,1327.22021484375,53
"Coweeta - BB",2018,-83.475,35.041667,135,NA,1197.30517578125,53
"Merrimac Farms, Nokesville, VA",2018,-77.536615166805,38.624745668198,120,NA,1332.81823730469,54
"Appalachian State University",2018,-81.672682605992,36.214363228894,120,"US-NC-189",1278.07995605469,53
"Currituck Banks Reserve",2019,-75.830780073317,36.38958959672,130,"US-NC-053",2125.25903320312,42
"Appalachian State University",2019,-81.672682605992,36.214363228894,120,"US-NC-189",1381.85888671875,64
"Ijams Nature Center",2019,-83.866635560989,35.957561221232,100,"US-TN-093",2073.45434570312,45
"Great Smoky Mountains Institute at Tremont",2019,-83.688772827533,35.639979235465,120,"US-TN-009",2177.85473632812,41
"Museum of American Bird Art",2019,-71.139992349488,42.163219926543,129,"US-MA-021",793.384948730469,101
"Mt. Auburn Cemetery",2019,-71.14532216979,42.37140748221,131,"US-MA-017",862.442016601562,101
"Columbus Botanical Garden",2019,-84.938069259433,32.533984721365,95,"US-GA-215",3000.1396484375,36
"East Carolina University",2019,-77.366304214415,35.606393363404,101,"US-NC-147",2406.11279296875,40
"NC State University",2019,-78.67546810402,35.781071715192,105,"US-NC-183",2213.97143554688,39
"UNC Chapel Hill Campus",2019,-79.049644020807,35.909876654033,105,"US-NC-135",2157.29833984375,40
"Mass Audubon's Boston Nature Center",2019,-71.099689938102,42.286004028739,130,"US-MA-025",839.114074707031,101
"Discovery Center at Murfree Spring",2019,-86.387142745541,35.83823893534,109,"US-TN-149",2018.84265136719,40
"Zoo Knoxville",2019,-83.888841569424,35.997103468522,100,"US-TN-093",2059.99951171875,45
"Seven Islands State Birding Park",2019,-83.689454197884,35.947412755256,101,"US-TN-093",2023.16259765625,50
"Litzsinger Road Ecology Center Woodland Site B",2019,-90.370217536849,38.620014528971,106,"US-MO-189",1385.44116210938,81
"Hemlock Bluffs",2019,-78.779309191044,35.724098087769,104,"US-NC-183",2213.08056640625,39
"Backyard",2019,-90.370020348763,38.620284726181,106,"US-MO-189",1385.44116210938,81
"Azalea Repository (TNCA)",2019,-82.604872412239,35.494777512753,118,"US-NC-021",1818.556640625,52
"Plants of Promise Garden (TNCA)",2019,-82.608926665321,35.496032261155,120,"US-NC-021",1780.62182617188,52
"Forest Meadow (TNCA)",2019,-82.607685261996,35.498639751224,117,"US-NC-021",1818.556640625,52
"Marin Municipal Water District",2019,-122.60038375854,37.961387971888,74,"US-CA-041",2303.27905273438,27
"Caledon State Park",2019,-77.135448978811,38.337043666036,112,"US-VA-099",1630.59167480469,74
"Fernbank Forest",2019,-84.321870803833,33.77615094252,100,"US-GA-089",2454.07373046875,39
"Forest Park Camden NY",2019,-75.738949553411,43.331620146359,128,NA,528.335327148438,109
"Litzsinger Road Ecology Center Woodland Site A",2019,-90.376199371614,38.624382910368,106,"US-MO-189",1385.44116210938,81
"Oregon Ridge Nature Center",2019,-76.690374462042,39.488104581379,122,"US-MD-005",1278.89904785156,87
"Kalamazoo Nature Center",2019,-85.5836,42.3604,121,"US-MI-077",636.668273925781,105
"NC Botanical Garden",2019,-79.0339,35.8994,105,"US-NC-135",2180.99536132812,40
"Prairie Ridge Ecostation",2019,-78.7139,35.8117,96,"US-NC-183",2197.58276367188,39
"Mass Audubon's Broadmoor Wildlife Sanctuary",2019,-71.338917016983,42.256699363244,132,"US-MA-017",793.115173339844,101
"Georgetown",2019,-77.07900566587,38.909602349623,112,"US-DC-001",1570.69677734375,75
"Scott's Run Nature Preserve",2019,-77.196108988279,38.960295138556,112,"US-VA-059",1483.70275878906,76
"Stage Nature Center",2019,-83.191449083429,42.616025477569,118,"US-MI-125",622.592468261719,102
"Lakeside Lab",2019,-95.184804093676,43.380076993568,170,"US-IA-059",496.241546630859,108
"Riverbend Park",2019,-77.246021979731,39.018431674248,114,"US-VA-059",1456.37878417969,76
"EwA at the Growing Center",2019,-71.098000215491,42.383419320081,140,"US-MA-017",842.43505859375,101
"Walker Nature Center",2019,-77.341531666344,38.925767408682,115,"US-VA-059",1480.18383789062,76
"Riverbanks",2019,-81.07626914978,34.008771519018,99,"US-SC-079",2740.08422851562,37
"EwA at Habitat",2019,-71.185823360856,42.403868405641,128,"US-MA-017",813.0048828125,101
"University of Pittsburgh",2019,-79.953028498109,40.446057779979,119,"US-PA-003",1087.14526367188,93
"EwA at the Fells",2019,-71.123832,42.455492,129,"US-MA-017",791.171142578125,101
"Merrimac Farms, Nokesville, VA",2019,-77.536615166805,38.624745668198,120,NA,1510.05505371094,75
"Schuylkill Center",2019,-75.249220500715,40.054953538319,118,"US-PA-101",1226.93286132812,90
"Crossways Survey",2019,-75.267440828078,40.174246114537,107,"US-PA-091",1184.85803222656,90
"RVCC",2019,-79.170878351185,43.81900252918,NA,"CA-ON-TO",NA,NA
"EwA at Fresh Pond",2019,-71.145097454995,42.387327000031,129,"US-MA-017",851.777160644531,101
"Linda Loring Nature Foundation",2019,-70.170192718506,41.291998909614,152,"US-MA-019",876.644165039062,99
"Potter Park Zoo",2019,-84.527592028662,42.717998528105,126,"US-MI-065",598.166198730469,105
"Camp Woods Survey",2019,-75.244872563774,40.156541404112,112,"US-PA-091",1189.40283203125,90
"Beare Swamp in Rouge Park",2019,-79.154017733419,43.825999432243,NA,"CA-ON-TO",NA,NA
"Sault College",2019,-84.30692999308,46.534499045766,141,"CA-ON-AL",223.982696533203,123
"Acadia NP - Alder",2019,-68.0528,44.3424,133,"US-ME-009",416.870239257812,120
"Acadia NP - Sundew",2019,-68.0657,44.3393,133,"US-ME-009",416.870239257812,120
"Wye Marsh Wildlife Centre",2019,-79.839792251587,44.731297544032,NA,NA,NA,NA
"UNCW",2019,-77.87104292809,34.224260900282,110,NA,2757.56274414062,37
