scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Cladius pectinicornis	Cladius	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/628325-Cladius-pectinicornis	
Craesus latitarsus	Craesus	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/475022-Craesus-latitarsus	
Craesus septentrionalis	Craesus	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/415323-Craesus-septentrionalis	
Dimorphopteryx abnormis	Dimorphopteryx	Eriocampini	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/562761-Dimorphopteryx-abnormis	
Dimorphopteryx melanognathus	Dimorphopteryx	Eriocampini	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.google.com/search?q=Dimorphopteryx+melanognathus&rlz=1C1CHBD_enUS837US837&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjFkaDSsZHhAhXmnuAKHaSWDhQQ_AUIECgD&biw=667&bih=757	
Diprion pini	Diprion	NA	Diprioninae	Diprionidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/470351-Diprion-pini	
Dolerus neoagcistus	Dolerus	NA	Selandriinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/468656-Dolerus-neoagcistus	
Dolerus nitens	Dolerus	NA	Selandriinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/366770-Dolerus-nitens	
Dolerus unicolor	Dolerus	NA	Selandriinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/349722-Dolerus-unicolor/browse_photos	
Eriocampa juglandis	Eriocampa	Eriocampini	Allantinae	Tenthredinidae	Tenthredinoidea	NA	Y	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/464177-Eriocampa-juglandis	
Eriocampa ovata	Eriocampa	Eriocampini	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/418164-Eriocampa-ovata	
Eupareophora parca	Eupareophora	Blennocampini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495096-Eupareophora-parca	
Eutomostethus ephippium	NA		NA	NA	NA	NA										
Eutomostethus luteiventris	NA		NA	NA	NA	NA										
Euura pavida	Euura	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/805203-Euura-pavida	
Fenusa pumila	Fenusa	Fenusini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/495099-Fenusa-pumila	
Fenusella nana	Fenusella	Fenusini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/496566-Fenusella-nana	
Halidamia affinis	Halidamia	Waldheimiini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/321639-Halidamia-affinis	
Hemitaxonus dubitatus	Hemitaxonus	Strongylogastrini	Selandriinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/496406-Hemitaxonus-dubitatus	
Lagium atroviolaceum	Lagium	NA	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/495107-Lagium-atroviolaceum/browse_photos	
Macremphytus tarsatus	Macremphytus	NA	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/143431-Macremphytus-tarsatus	
Macremphytus testaceus	Macremphytus	NA	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143653-Macremphytus-testaceus	
Macrophya alboannulata	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/320950-Macrophya-alboannulata	
Macrophya flavicoxae	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/324300-Macrophya-flavicoxae	
Macrophya formosa	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/465525-Macrophya-formosa	
Macrophya pulchella	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495118-Macrophya-pulchella	
Macrophya punctumalbum	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/551817-Macrophya-punctumalbum/browse_photos	
Macrophya succincta	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/473426-Macrophya-succincta	
