"Name"	"Region"	"Latitude"	"Longitude"	"nSurveys"	"nDates"	"nWeeks"	"nCat"	"pctCat"	"nArth"	"nLgArth"	"nArthsPerSurvey"	"nLgArthsPerSurvey"	"pctSurvsLgArths"	"nPhoto"	"pctPhoto"
"Lesser Slave Lake Bird Observatory"	"AB"	55.425967653194	-114.82427363141	196	13	13	4	NA	2267	56	11.5663265306122	0.285714285714286	0.179	92	0.12
"Boreal Centre for Bird Conservation"	"AB"	55.411626464896	-114.80564810432	177	12	12	6	NA	1012	5	5.71751412429379	0.0282485875706215	0.028	36	0.06
"Acadia NP - Alder"	"ME"	44.3424	-68.0528	383	23	19	18	NA	177	19	0.462140992167102	0.0496083550913838	0.05	0	0
"Acadia NP - Sundew"	"ME"	44.3393	-68.0657	391	24	20	50	NA	293	83	0.749360613810742	0.21227621483376	0.189	0	0
"Middle Mill"	"ON"	43.69402883916	-79.356059205218	317	13	12	49	NA	656	125	2.06940063091483	0.394321766561514	0.325	196	0.397
"Riverdale Park East"	"ON"	43.670753240589	-79.356772131907	116	9	9	8	NA	390	27	3.36206896551724	0.232758620689655	0.164	55	0.255
"EwA at the Fells"	"MA"	42.455492	-71.123832	142	14	14	30	NA	403	64	2.83802816901408	0.450704225352113	0.387	173	0.609
"Mt. Auburn Cemetery"	"MA"	42.37140748221	-71.14532216979	320	31	17	36	NA	679	61	2.121875	0.190625	0.138	275	0.841
"EwA at Bigelow"	"CT"	41.997887974173	-72.133736073331	195	23	20	51	NA	497	100	2.54871794871795	0.512820512820513	0.482	401	0.976
"Crossways Survey"	"PA"	40.174246114537	-75.267440828078	128	14	10	5	NA	315	9	2.4609375	0.0703125	0.07	25	0.118
"Walker Nature Center"	"VA"	38.925767408682	-77.341531666344	306	35	16	10	NA	490	56	1.60130718954248	0.183006535947712	0.114	163	0.463
"Leopold's Preserve"	"VA"	38.816756338075	-77.673554420471	127	10	10	17	NA	245	27	1.92913385826772	0.21259842519685	0.173	28	0.187
"Over Easy Farm"	"VA"	38.280165345691	-77.367821380202	105	11	7	4	NA	193	14	1.83809523809524	0.133333333333333	0.124	48	0.331
"Belle Isle State Park, Lancaster, VA"	"VA"	37.780129538579	-76.596441492825	418	14	14	17	NA	603	49	1.44258373205742	0.117224880382775	0.098	239	0.542
"Virginia Zoo"	"VA"	36.876408543431	-76.277038704493	367	14	13	3	NA	858	24	2.33787465940055	0.0653950953678474	0.054	2	0.004
"Grandfather Mountain"	"NC"	36.090242719196	-81.835645308896	823	26	16	58	NA	804	84	0.976913730255164	0.102065613608748	0.087	235	0.38
"Eno River State Park"	"NC"	36.076898750519	-79.00719785217	822	11	10	143	NA	2063	187	2.50973236009732	0.227493917274939	0.207	1133	0.685
"Triangle Land Conservancy - Johnston Mill Nature Preserve"	"NC"	35.990692	-79.049186	886	13	12	178	NA	3443	146	3.88600451467269	0.164785553047404	0.161	1111	0.686
"Ijams Nature Center"	"TN"	35.957561221232	-83.866635560989	323	60	20	26	NA	882	124	2.73065015479876	0.38390092879257	0.325	434	0.731
"UNC Chapel Hill Campus"	"NC"	35.909876654033	-79.049644020807	888	15	15	12	NA	2371	155	2.67004504504505	0.17454954954955	0.136	1185	0.795
"NC Botanical Garden"	"NC"	35.8994	-79.0339	1038	13	13	80	NA	1828	121	1.76107899807322	0.116570327552987	0.112	1086	0.66
"Prairie Ridge Ecostation"	"NC"	35.8117	-78.7139	1557	13	13	337	NA	3788	377	2.43288375080283	0.242132305716121	0.211	1818	0.689
"Highlands Biological Station"	"NC"	35.053885666174	-83.18924508538	231	8	8	25	NA	487	15	2.10822510822511	0.0649350649350649	0.065	33	0.086
"East Campus UGA"	"GA"	33.938606928375	-83.367261886597	1206	45	9	63	NA	3975	328	3.29601990049751	0.271973466003317	0.203	1245	0.855
"Callawassie Island South Carolina"	"SC"	32.325354465702	-80.85572719574	380	53	14	3	NA	263	6	0.692105263157895	0.0157894736842105	0.016	27	0.209
