scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Bombycoidea	NA		NA	NA	Bombycoidea	117536										
Anisota	Anisota		Ceratocampinae	Saturniidae	Bombycoidea	936007										
Anisota peigleri	Anisota		Ceratocampinae	Saturniidae	Bombycoidea	936148										
Anisota senatoria	Anisota		Ceratocampinae	Saturniidae	Bombycoidea	936186										
Anisota stigma	Anisota		Ceratocampinae	Saturniidae	Bombycoidea	936154										
Anisota virginiensis	Anisota		Ceratocampinae	Saturniidae	Bombycoidea	936147										
Citheronia regalis	Citheronia		Ceratocampinae	Saturniidae	Bombycoidea	936172										
Dryocampa rubicunda	Dryocampa		Ceratocampinae	Saturniidae	Bombycoidea	936177										
Eacles imperialis	Eacles		Ceratocampinae	Saturniidae	Bombycoidea	936166										
Eacles imperialis pini	Eacles		Ceratocampinae	Saturniidae	Bombycoidea	936251										
Automeris io	Automeris		Hemileucinae	Saturniidae	Bombycoidea	936158										
Hemileuca grotei	Hemileuca		Hemileucinae	Saturniidae	Bombycoidea	936187										
Hemileuca maia	Hemileuca		Hemileucinae	Saturniidae	Bombycoidea	936200										
Hylesia	Hylesia		Hemileucinae	Saturniidae	Bombycoidea	935998										Hylesia lineata is the only species in this genus to form silktents
Saturniidae	NA		NA	Saturniidae	Bombycoidea	117551										
Actias luna	Actias		Saturniinae	Saturniidae	Bombycoidea	936178										
Antheraea polyphemus	Antheraea		Saturniinae	Saturniidae	Bombycoidea	189057										
Callosamia promethea	Callosamia	Attacini	Saturniinae	Saturniidae	Bombycoidea	936189	N	N	N	N			Y		https://www.inaturalist.org/taxa/81580-Callosamia-promethea	Not social until 3rd instar 
Eupackardia	Eupackardia		Saturniinae	Saturniidae	Bombycoidea	936009										
Eupackardia calleta	Eupackardia		Saturniinae	Saturniidae	Bombycoidea	936180										
Hyalophora cecropia	Hyalophora		Saturniinae	Saturniidae	Bombycoidea	936196										
Darapsa myron	Darapsa		Macroglossinae	Sphingidae	Bombycoidea	936039										
Deidamia inscriptum	Deidamia		Macroglossinae	Sphingidae	Bombycoidea	936041										
Eumorpha	Eumorpha		Macroglossinae	Sphingidae	Bombycoidea	935971										
Eumorpha achemon	Eumorpha		Macroglossinae	Sphingidae	Bombycoidea	936056										
Eumorpha fasciatus	Eumorpha		Macroglossinae	Sphingidae	Bombycoidea	936058										
Eumorpha pandorus	Eumorpha		Macroglossinae	Sphingidae	Bombycoidea	936062										
Eumorpha satellitia	Eumorpha		Macroglossinae	Sphingidae	Bombycoidea	936063										
Eumorpha vitis	Eumorpha		Macroglossinae	Sphingidae	Bombycoidea	936065										
Hemaris diffinis	Hemaris		Macroglossinae	Sphingidae	Bombycoidea	936068										
Hemaris thysbe	Hemaris		Macroglossinae	Sphingidae	Bombycoidea	188633										
Hyles euphorbiae	Hyles		Macroglossinae	Sphingidae	Bombycoidea	936074										
Hyles gallii	Hyles		Macroglossinae	Sphingidae	Bombycoidea	188637										
Hyles lineata	Hyles		Macroglossinae	Sphingidae	Bombycoidea	936075										
Pachylia ficus	Pachylia		Macroglossinae	Sphingidae	Bombycoidea	936102										
Pseudosphinx tetrio	Pseudosphinx		Macroglossinae	Sphingidae	Bombycoidea	936118										
Sphecodina abbottii	Sphecodina		Macroglossinae	Sphingidae	Bombycoidea	936122										
Xylophanes pluto	Xylophanes		Macroglossinae	Sphingidae	Bombycoidea	936141										
Xylophanes tersa	Xylophanes		Macroglossinae	Sphingidae	Bombycoidea	936143										
Sphingidae	NA		NA	Sphingidae	Bombycoidea	117293										
Amorpha juglandis	Amorpha		Smerinthinae	Sphingidae	Bombycoidea	936021										
Pachysphinx modesta	Pachysphinx		Smerinthinae	Sphingidae	Bombycoidea	936104										
Paonias astylus	Paonias		Smerinthinae	Sphingidae	Bombycoidea	936106										
