"year","cell","n_obs"
"2016","3671",52
"2016","3672",153
"2016","3673",65
"2016","3699",8
"2016","3700",170
"2016","3727",103
"2016","452",3
"2016","454",30
"2016","480",22
"2016","481",2
"2016","486",1
"2016","507",160
"2016","508",13
"2016","509",5
"2016","512",4
"2016","513",6
"2016","514",56
"2016","534",288
"2016","535",170
"2016","536",25
"2016","537",26
"2016","538",4
"2016","540",76
"2016","541",225
"2016","562",340
"2016","563",56
"2016","564",328
"2016","565",95
"2016","566",1115
"2016","567",1946
"2016","568",1207
"2016","589",35
"2016","590",528
"2016","591",375
"2016","592",158
"2016","593",1940
"2016","594",1378
"2016","595",2531
"2016","616",41
"2016","617",295
"2016","618",771
"2016","619",1253
"2016","620",1560
"2016","621",221
"2016","622",2042
"2016","644",134
"2016","645",154
"2016","646",431
"2016","647",554
"2016","648",1151
"2016","649",1792
"2016","671",151
"2016","672",138
"2016","673",81
"2016","674",320
"2016","675",224
"2016","676",1582
"2016","698",114
"2016","699",10
"2016","700",1374
"2016","701",407
"2016","702",1905
"2016","703",609
"2016","725",65
"2016","726",131
"2016","727",156
"2016","728",200
"2016","729",41
"2016","730",150
"2016","732",113
"2016","733",99
"2016","734",1
"2016","736",125
"2016","737",1
"2016","738",64
"2016","739",969
"2016","740",37
"2016","741",2
"2016","766",1
"2016","767",59
"2016","769",5
"2016","785",4
"2016","815",1
"2017","239",4
"2017","295",4
"2017","3669",1
"2017","3671",50
"2017","3672",194
"2017","3673",159
"2017","3698",1
"2017","370",1
"2017","3700",462
"2017","3727",243
"2017","431",1
"2017","454",73
"2017","480",5
"2017","486",1
"2017","507",295
"2017","508",93
"2017","509",24
"2017","510",28
"2017","512",2
"2017","513",95
"2017","514",41
"2017","534",786
"2017","535",424
"2017","536",60
"2017","537",211
"2017","538",38
"2017","540",198
"2017","541",299
"2017","562",367
"2017","563",201
"2017","564",419
"2017","565",169
"2017","566",995
"2017","567",2233
"2017","568",1556
"2017","589",161
"2017","590",1004
"2017","591",483
"2017","592",463
"2017","593",3891
"2017","594",2083
"2017","595",3618
"2017","616",172
"2017","617",427
"2017","618",1220
"2017","619",997
"2017","620",3956
"2017","621",1833
"2017","622",1994
"2017","644",293
"2017","645",148
"2017","646",867
"2017","647",1435
"2017","648",2004
"2017","649",3839
"2017","671",296
"2017","672",133
"2017","673",332
"2017","674",192
"2017","675",644
"2017","676",3506
"2017","698",311
"2017","699",21
