"year","n_obs","n_users"
"2008",92911,4837
"2009",135285,5291
"2010",175363,6292
"2011",246334,8559
"2012",373341,12086
"2013",585231,18093
"2014",873269,27155
"2015",1322969,43468
"2016",2356656,87238
"2017",4113091,145141
"2018",7835118,332913
"2019",12979237,509954
