"cell","year","peakDate","centroidDate","avgPeakDate","avgCentroidDate","lon","lat","tmax","tmin","mean_temp"
568,2019,203,185.508805042624,207,201,-69.2046692307013,44.8891978402985,11.7358707703933,0.266821743670537,6.00134625703192
593,2019,196,184.055100315902,172,179.176258992806,-78.7499999978607,44.4260057265326,12.2029970230635,1.29050569152925,6.74675135729637
595,2019,147,168.74728324758,151,164.766935242699,-71.3554430901979,43.1334602440522,14.0297145201419,2.53713990463912,8.28342721239051
645,2019,182,174.680457976381,186,186.508547008547,-88.9526017248609,38.185511830815,20.9358091838697,9.58573501963833,15.260772101754
648,2019,196,180.683603887746,193,175.387096774194,-78.7499999977146,40.2321033043929,18.3055964087544,6.47822229164249,12.3919093501984
649,2019,168,177.326756908296,179,181.980573856971,-75.2714873254758,39.5762282442583,19.9087931174732,9.07456914893849,14.4916811332058
676,2019,168,184.561395441161,193,193.512195121951,-77.0602252664455,37.7871442781489,22.7525392316102,10.8707007713115,16.8116200014608
703,2019,189,170.888896281747,165,173.012069054438,-78.7499999975762,35.9983013483697,24.5647683915857,11.7576063199794,18.1611873557826
729,2019,161,170.578637980713,207,188.916666666667,-83.602940352691,32.9485708535521,26.9427844756847,13.4954978610058,20.2191411683452
736,2019,168,183.444223620582,179,173.996146435453,-69.9017282266508,40.6811083445034,15.3295587071196,6.01901649730381,10.6742876022117
